,feature,tfidf,ig_value
157,anggran,0.0,0.0007841756598852001
158,angin,0.0,0.0007841756598852001
159,angkat,0.0,0.006728588703942329
160,angkutan,0.0,0.0007979393802941548
161,anh,0.0,0.0009667991902708728
162,anies,0.0,0.016100457126501544
163,anis,0.0,0.0007841756598852001
164,anjir,0.0,0.0017643284227015776
165,ank,0.0,0.0007979393802941548
166,annavita,0.0,0.0007979393802941548
167,antar,0.0,0.004762045893285327
168,antaranya,0.0,0.0007979393802941548
169,anthony,0.0,0.0007841756598852001
170,anti,0.0,0.0007979393802941548
171,antisipasi,0.0,0.0007841756598852001
172,antusias,0.0,0.0033202789363002694
173,antusiasme,0.0,0.003514694486485892
174,anzar,0.0,0.0031410733108654387
175,aokrxjcree,0.0,0.0009667991902708728
176,ap,0.0,0.0015690787865341171
177,apa,0.0,0.07247825486948734
178,apabila,0.0,0.004144165591311921
179,apalah,0.0,0.0007979393802941548
180,apapun,0.0,0.003948874774998501
181,aparat,0.0,0.0007841756598852001
182,aparatur,0.0,0.0031514191263244395
183,apbd,0.0,0.0009667991902708728
184,apbn,0.0,0.022834429943418888
185,aphqhoyu,0.0,0.0007979393802941548
186,aplikasi,0.0,0.0009667991902708728
187,apln,0.0,0.0007841756598852001
188,apm,0.0,0.0007841756598852001
189,appid,0.0,0.0007841756598852001
190,apresiasi,0.0,0.0023547108464403443
191,aqkftd,0.0,0.0009667991902708728
192,ar,0.0,0.0023547108464403443
193,arah,0.0,0.0023661976522391104
194,arahnya,0.0,0.0007979393802941548
195,argumen,0.0,0.004144165591311921
196,argumentasi,0.0,0.0007979393802941548
197,ari,0.0,0.0023799819319643145
198,arief,0.0,0.0015690787865341171
199,arif,0.0,0.0007979393802941548
200,arsip,0.0,0.0009667991902708728
201,arti,0.0,0.001581704892316127
202,artikel,0.0,0.0009667991902708728
203,artinya,0.0,0.003514694486485892
204,artis,0.0,0.0007841756598852001
205,arya,0.0,0.008738579915753109
206,as,0.0,0.002562605462349543
207,asaan,0.0,0.0007841756598852001
208,asal,0.0,0.006496132260739085
209,asalan,0.0,0.0007841756598852001
210,asasi,0.0,0.0007979393802941548
211,asemkakan,0.0,0.0009667991902708728
212,aseng,0.0,0.0023960637471287516
213,aset,0.0,0.003179008306603226
214,asgard,0.0,0.0007841756598852001
215,asgardian,0.0,0.0007841756598852001
216,asia,0.0,0.0007841756598852001
217,asian,0.0,0.0007841756598852001
218,asing,0.0,0.004927425935545848
219,asked,0.0,0.0007841756598852001
220,asli,0.0,0.0023661976522391104
221,aslinya,0.0,0.0007979393802941548
222,asn,0.0,0.00902266251098216
223,asongan,0.0,0.0007979393802941548
224,asoy,0.0,0.0007979393802941548
225,aspek,0.0,0.01338610103993143
226,aspeksindo,0.0,0.0007841756598852001
227,aspirasi,0.0,0.0007979393802941548
228,asshiddiqie,0.0,0.0015966267866678319
229,asshidiqie,0.0,0.0015690787865341171
230,astaga,0.0,0.0007979393802941548
231,asudahlah,0.0,0.0007979393802941548
232,asumsi,0.0,0.0007841756598852001
233,asyik,0.0,0.0007979393802941548
234,at,0.0,0.0023661976522391104
235,atama,0.0,0.0009667991902708728
236,atas,0.0,0.020618362467519802
237,ataukah,0.0,0.0015966267866678319
238,ataupun,0.0,0.0007841756598852001
239,ato,0.0,0.0009667991902708728
240,atur,0.0,0.0007979393802941548
241,aturan,0.0,0.0033455500218242396
242,atw,0.0,0.0023960637471287516
243,august,0.0,0.0007841756598852001
244,australia,0.0,0.0007841756598852001
245,avgqd,0.0,0.0007979393802941548
246,awa,0.0,0.0007979393802941548
247,awakmu,0.0,0.0009667991902708728
248,awal,0.0,0.004161409079436851
249,awali,0.0,0.0007979393802941548
250,awam,0.0,0.0007841756598852001
251,awas,0.0,0.0007979393802941548
252,awasi,0.0,0.0007979393802941548
253,axb,0.0,0.0009667991902708728
254,ayah,0.0,0.001581704892316127
255,ayeuna,0.0,0.0007979393802941548
256,ayo,0.0,0.004144165591311921
257,ayok,0.0,0.0009667991902708728
258,ayoo,0.0,0.0007979393802941548
259,ayt,0.0,0.0007979393802941548
260,ayul,0.0,0.0007841756598852001
261,azab,0.0,0.0017643284227015776
262,azfqzcjg,0.0,0.0007979393802941548
263,azzxnnfk,0.0,0.0007841756598852001
264,babak,0.0,0.0007841756598852001
265,babel,0.0,0.0007841756598852001
266,baca,0.0,0.018247193201164524
267,bachmid,0.0,0.0007841756598852001
268,back,0.0,0.0023960637471287516
269,badan,0.35465992876030084,0.008771442897159698
270,bae,0.0,0.001581704892316127
271,bagai,0.0,0.0007979393802941548
272,bagaimana,0.0,0.032115012517273334
273,bagian,0.0,0.01364599239255182
274,bagiku,0.0,0.0007979393802941548
275,baginya,0.0,0.0007979393802941548
276,bagus,0.0,0.00842707528559572
277,bagusnya,0.0,0.0017643284227015776
278,bah,0.0,0.0007841756598852001
279,bahagia,0.0,0.0023547108464403443
280,bahan,0.0,0.005266000484769995
281,bahas,0.0,0.028531252779944616
282,bahasa,0.0,0.0017643284227015776
283,bahaya,0.0,0.0015966267866678319
284,bahkan,0.0,0.01019540835464361
285,bahlul,0.0,0.0007841756598852001
286,bahwasanya,0.0,0.0007841756598852001
287,baik,0.0,0.03918576182931943
288,baiklah,0.0,0.0007979393802941548
289,baiknya,0.0,0.003179008306603226
290,baja,0.0,0.0007841756598852001
291,bajingan,0.0,0.0007979393802941548
292,bak,0.0,0.0007841756598852001
293,bakal,0.0,0.022998590482188996
294,bakalan,0.0,0.0007979393802941548
295,bakar,0.0,0.001750564702292623
296,balance,0.0,0.0017643284227015776
297,bali,0.0,0.0007841756598852001
298,balik,0.0,0.015851417136205637
299,balikan,0.0,0.0007841756598852001
300,balikpapan,0.0,0.0031640641060657337
301,balqis,0.0,0.0007841756598852001
302,bambang,0.0,0.011942032935388758
303,bambank,0.0,0.001750564702292623
304,bambu,0.0,0.001750564702292623
305,bamsoet,0.0,0.0019346310613057582
306,bandar,0.0,0.0007841756598852001
307,bandara,0.0,0.001750564702292623
308,banding,0.0,0.0015966267866678319
309,bandung,0.0,0.01199230871701018
310,bang,0.0,0.0145593474961212
311,banget,0.0,0.007509477039663537
312,bangkrut,0.0,0.0015966267866678319
313,bangkrutpun,0.0,0.0007841756598852001
314,bangsa,0.0,0.015393342246369679
315,bangsat,0.0,0.0007979393802941548
316,bangun,0.0,0.008273795887576929
317,bangunan,0.0,0.001750564702292623
318,bani,0.0,0.0015966267866678319
319,banjir,0.0,0.007130047472734269
320,bank,0.0,0.001581704892316127
321,banser,0.0,0.0017643284227015776
322,bantah,0.0,0.006039643069012834
323,bantu,0.0,0.0025350574622156063
324,bantuan,0.0,0.0007841756598852001
325,banya,0.0,0.0009667991902708728
326,banyak,0.0,0.05364497798704693
327,banyaknya,0.0,0.002562605462349543
328,bapak,0.0,0.022932459020007512
329,bapake,0.0,0.0009667991902708728
330,bapaknya,0.0,0.0009667991902708728
331,bapenas,0.0,0.001581704892316127
332,bapk,0.0,0.0007841756598852001
333,bappeda,0.0,0.0019346310613057582
334,bappenas,0.0,0.030919212530591267
335,bara,0.0,0.0033616318369886766
336,barang,0.0,0.0007841756598852001
337,barangan,0.0,0.0007841756598852001
338,barat,0.0,0.031130576782519626
339,barcelona,0.0,0.0007979393802941548
340,bareng,0.0,0.001750564702292623
341,bargaining,0.0,0.0007979393802941548
342,baris,0.0,0.0007841756598852001
343,baru,0.0,0.13821094947237733
344,barunya,0.0,0.0009667991902708728
345,barusan,0.0,0.0015690787865341171
346,basa,0.0,0.0017643284227015776
347,basarah,0.0,0.0009667991902708728
348,based,0.0,0.0017643284227015776
349,basi,0.0,0.0017643284227015776
350,bastian,0.0,0.0007841756598852001
351,basuki,0.0,0.001750564702292623
352,baswedan,0.0,0.006526087847837703
353,batak,0.0,0.0007841756598852001
354,batal,0.0,0.0023799819319643145
355,batalkan,0.0,0.0023960637471287516
356,batavia,0.0,0.0017643284227015776
357,batiwakkal,0.0,0.007874669589184258
358,batu,0.0,0.0043282319503248345
359,bawa,0.0,0.0007841756598852001
360,bawah,0.0,0.0007979393802941548
361,bawahi,0.0,0.0007979393802941548
362,bayangin,0.0,0.0007841756598852001
363,bayar,0.0,0.0031962517947285995
364,bayaran,0.0,0.0009667991902708728
365,bayarkan,0.0,0.0007979393802941548
366,bb,0.0,0.0007979393802941548
367,bbg,0.0,0.0007841756598852001
368,bbm,0.0,0.0015966267866678319
369,bca,0.0,0.0025350574622156063
370,bck,0.0,0.0007841756598852001
371,bdzlslmbd,0.0,0.0007841756598852001
372,be,0.0,0.0009667991902708728
373,beban,0.0,0.016773837422267013
374,bebani,0.0,0.0062996216567889896
375,bebankan,0.0,0.004892913915852448
376,bebannya,0.0,0.002903498106329394
377,bebas,0.0,0.0017643284227015776
378,beberapa,0.0,0.012715759080431654
379,beberkan,0.0,0.0009667991902708728
380,becus,0.0,0.004762045893285327
381,beda,0.0,0.003529616380837153
382,bedah,0.0,0.0009667991902708728
383,bedanya,0.0,0.0007979393802941548
384,begana,0.0,0.0009667991902708728
385,begimana,0.0,0.0009667991902708728
386,begini,0.0,0.013656864717075612
387,begituji,0.0,0.0009667991902708728
388,begitukah,0.0,0.0009667991902708728
389,begitulah,0.0,0.0015966267866678319
390,begni,0.0,0.0007979393802941548
391,bego,0.0,0.0007841756598852001
392,behind,0.0,0.0007841756598852001
393,beijing,0.0,0.015218424275973641
394,bejibun,0.0,0.0009667991902708728
395,bekas,0.0,0.0015690787865341171
396,bekasi,0.0,0.0019346310613057582
397,bekelas,0.0,0.0007979393802941548
398,bekepribadian,0.0,0.0007841756598852001
399,bekerja,0.0,0.006709016592224115
400,belajar,0.0,0.004106230595573912
401,belaka,0.0,0.0023799819319643145
402,belakangi,0.0,0.0009667991902708728
403,belanda,0.0,0.005451823032887493
404,belanja,0.0,0.0007979393802941548
405,belasan,0.0,0.0007979393802941548
406,belelo,0.0,0.0007979393802941548
407,belenggu,0.0,0.0007979393802941548
408,beli,0.0,0.0007841756598852001
409,beliau,0.0,0.008865070386797402
410,belit,0.0,0.0007979393802941548
411,belom,0.0,0.0015966267866678319
412,belumm,0.0,0.0009667991902708728
413,benahi,0.0,0.0039787855490514
414,benar,0.0,0.01284667925439864
415,benarkah,0.0,0.00659804685273957
416,bencana,0.0,0.005711414335247245
417,bendungan,0.0,0.0007841756598852001
418,beneer,0.0,0.0007979393802941548
419,bener,0.0,0.005520687485319309
420,bengak,0.0,0.0007979393802941548
421,bening,0.0,0.0007841756598852001
422,bentar,0.0,0.001581704892316127
423,bentuk,0.33301516947501447,0.012701902630221973
424,benturan,0.0,0.0009667991902708728
425,benturin,0.0,0.0007979393802941548
426,benturkan,0.0,0.0007841756598852001
427,ber,0.0,0.001581704892316127
428,berada,0.0,0.0066767807148016
