,feature,tfidf,ig_value
133,61l6oihywq,0.0,0.0007979393802941548
134,62,0.0,0.001581704892316127
135,67,0.0,0.0007979393802941548
136,6anh66sq7h,0.0,0.0009667991902708728
137,6bdzlslmbd,0.0,0.0007841756598852001
138,6i9mkzpefh,0.0,0.0007979393802941548
139,6t06gswxbl,0.0,0.0007979393802941548
140,6yikz02km9,0.0,0.0009667991902708728
141,6zr5mnttnr,0.0,0.0007841756598852001
142,72hs5m2n8z,0.0,0.0007841756598852001
143,75,0.0,0.001750564702292623
144,7gblbpr3mx,0.0,0.0007841756598852001
145,7itkazumul,0.0,0.0007979393802941548
146,7lpjwgfex8,0.0,0.0009667991902708728
147,7ydr70e7ii,0.0,0.0009667991902708728
148,800rb,0.0,0.0007841756598852001
149,81,0.0,0.0007979393802941548
150,8211,0.0,0.0009667991902708728
