,feature,tfidf,ig_value
228,at,0,0.002366198
229,atama,0,0.000966799
230,atas,0,0.022377431
231,atau,0,0.002379982
232,ato,0,0.000966799
233,atur,0,0.008109302
234,atw,0,0.002396064
235,august,0,0.000784176
236,australia,0,0.000784176
237,avgqd,0,0.000797939
238,awa,0,0.000797939
239,awak,0,0.000966799
240,awal,0,0.007309253
241,awam,0,0.000784176
242,awas,0,0.003978786
243,axb,0,0.000966799
244,ayah,0,0.001581705
245,ayeuna,0,0.000797939
246,ayo,0,0.004144166
247,ayok,0,0.000966799
248,ayom,0,0.001596627
249,ayoo,0,0.000797939
250,ayt,0,0.000797939
251,ayul,0,0.000784176
252,azab,0,0.001764328
253,azfqzcjg,0,0.000797939
254,azzxnnfk,0,0.000784176
255,babak,0,0.000784176
256,babel,0,0.000784176
257,baca,0,0.026424493
258,bachmid,0,0.000784176
259,back,0,0.002396064
260,badan,0.364798597,0.008771443
261,bae,0,0.001581705
262,bagai,0,0.017345144
263,bagaimana,0,0.033876554
264,bagi,0,0.027170914
265,bagus,0,0.010190995
266,bah,0,0.000784176
267,bahagia,0,0.002354711
268,bahan,0,0.005266
269,bahas,0,0.058030957
270,bahasa,0,0.002562605
271,bahaya,0,0.002396064
272,bahkan,0,0.010195408
273,bahlul,0,0.000784176
274,bahwasanya,0,0.000784176
275,baik,0,0.063052504
276,baja,0,0.000784176
277,bajing,0,0.000797939
278,bak,0,0.000784176
279,bakal,0,0.023795449
280,bakar,0,0.004116576
281,bal,0,0.000784176
282,balance,0,0.001764328
283,balik,0,0.020949265
284,balikpapan,0,0.003164064
285,balqis,0,0.000784176
286,bambang,0,0.011942033
287,bambank,0,0.001750565
288,bambu,0,0.001750565
289,bamsoet,0,0.001934631
290,ban,0,0.000784176
291,bandar,0,0.000784176
292,bandara,0,0.001750565
293,banding,0,0.010535956
294,bandung,0,0.011992309
295,bang,0,0.014559347
296,banget,0,0.008310693
297,bangga,0,0.000797939
298,bangkit,0,0.000966799
299,bangkrut,0,0.002379982
300,bangsa,0,0.016178836
301,bangsat,0,0.000797939
302,bangun,0,0.070129217
303,bani,0,0.001596627
304,banjir,0,0.007130047
305,bank,0,0.001581705
306,banser,0,0.001764328
307,bantah,0,0.006039643
308,bantu,0,0.006475394
309,banya,0,0.000966799
310,banyak,0,0.062550554
311,bapak,0,0.022932459
312,bapake,0,0.000966799
313,bapenas,0,0.001581705
314,bapk,0,0.000784176
315,bappeda,0,0.001934631
316,bappenas,0,0.030919213
317,bara,0,0.003361632
318,barang,0,0.000784176
319,barangan,0,0.000784176
320,barat,0,0.031130577
321,barcelona,0,0.000797939
322,bareng,0,0.003320279
323,bargaining,0,0.000797939
324,baris,0,0.000784176
325,baru,0,0.14010876
326,barusan,0,0.001569079
327,bas,0,0.002366198
328,basa,0,0.001764328
329,basarah,0,0.000966799
330,based,0,0.001764328
331,basi,0,0.001764328
332,bastian,0,0.000784176
333,basuki,0,0.001750565
334,baswedan,0,0.006526088
335,batak,0,0.000784176
336,batal,0,0.020909412
337,batas,0,0.003529616
338,batavia,0,0.001764328
339,batiwakkal,0,0.00787467
340,batu,0,0.004328232
341,bau,0,0.000797939
342,bawa,0,0.008046993
343,bawah,0,0.001596627
344,bayang,0,0.002366198
345,bayangin,0,0.000784176
346,bayar,0,0.006565261
347,bb,0,0.000797939
348,bbg,0,0.000784176
349,bbm,0,0.001596627
350,bca,0,0.002535057
351,bck,0,0.000784176
352,bdzlslmbd,0,0.000784176
353,be,0,0.000966799
354,beban,0,0.033476921
355,bebas,0,0.002547684
356,beberapa,0,0.012715759
357,becus,0,0.004762046
358,beda,0,0.007643181
359,bedah,0,0.000966799
360,begana,0,0.000966799
361,begimana,0,0.000966799
362,begini,0,0.014452109
363,begitu,0,0.003361632
364,begituji,0,0.000966799
365,begni,0,0.000797939
366,bego,0,0.000784176
367,behind,0,0.000784176
368,beijing,0,0.015218424
369,bejibun,0,0.000966799
370,bekas,0,0.003502068
371,bekelas,0,0.000797939
372,bekepribadian,0,0.000784176
373,belaka,0,0.002379982
374,belakang,0,0.001764328
375,belanda,0,0.005451823
376,belanja,0,0.000797939
377,belelo,0,0.000797939
378,belenggu,0,0.000797939
379,beli,0,0.001581705
380,beliau,0,0.00886507
381,belit,0,0.000797939
382,belum,0,0.007130047
383,belumm,0,0.000966799
384,benah,0,0.008770191
385,benar,0,0.026292313
386,bencana,0,0.005711414
387,benci,0,0.001569079
388,bendung,0,0.000784176
389,beneer,0,0.000797939
390,bener,0,0.005520687
391,bengak,0,0.000797939
392,bengkak,0,0.001596627
393,bening,0,0.000784176
394,bentar,0,0.001581705
395,bentuk,0.309283853,0.022365788
396,bentur,0,0.001750565
397,benturin,0,0.000797939
398,ber,0,0.001581705
399,berangkat,0,0.000797939
400,berani,0,0.002354711
401,berapa,0,0.005640234
402,berastagi,0,0.000797939
403,berat,0,0.011930494
404,berb,0,0.000797939
405,berdampakhanya,0,0.000966799
406,berdapak,0,0.000784176
407,berdiakusi,0,0.000966799
408,beres,0,0.003179008
409,berfikir,0,0.001581705
410,berfikirnya,0,0.000784176
411,berhusnudzon,0,0.000784176
412,beri,0,0.022363459
413,beribuk,0,0.000784176
414,beribukota,0,0.000784176
415,berita,0.283793812,0.036307038
416,berkah,0,0.001569079
417,berprespektif,0,0.000784176
418,bersih,0,0.001596627
419,besan,0,0.000784176
420,besar,0,0.030890952
421,besok,0,0.007584432
422,besuara,0,0.000966799
423,bet,0,0.001750565
424,betawi,0,0.001596627
425,betul,0,0.008892784
426,bfojxlirqa,0,0.000966799
427,bfwb,0,0.000784176
428,bfzcrgdvcs,0,0.000966799
429,bg,0,0.004961939
430,bgini,0,0.000797939
431,bgsdozwcct,0,0.000797939
432,bgt,0,0.001764328
433,bh,0,0.000797939
434,bhcnomvnfn,0,0.000784176
435,bhw,0,0.002396064
436,bi,0,0.001764328
437,biar,0,0.010038596
438,biasa,0,0.005726381
439,biaya,0,0.049590761
440,bicara,0,0.033334524
441,bidang,0,0.002535057
442,bidik,0,0.000966799
443,bigot,0,0.000784176
444,bigrpfvb,0,0.000797939
445,bijak,0,0.025720113
446,bijaksana,0,0.000797939
447,bikin,0,0.01119093
448,bikini,0,0.000797939
449,bil,0,0.000784176
450,bila,0,0.00334555
451,bilang,0,0.011972033
452,bilau,0,0.000784176
453,bill,0,0.000797939
454,bima,0,0.013442249
455,bincang,0,0.004144166
456,bingar,0,0.000797939
457,bingarnya,0,0.000784176
458,bingung,0,0.001581705
459,bintang,0,0.001764328
460,birokrasi,0,0.002366198
461,bisa,0,0.001581705
462,bisnis,0,0.009372714
463,bit,0,0.000797939
464,bius,0,0.000797939
465,bivwydawai,0,0.000797939
466,biyaya,0,0.000797939
467,bjps,0,0.000797939
468,bkn,0,0.002379982
469,bla,0,0.000797939
470,blm,0,0.006565261
471,bln,0,0.000797939
472,blng,0,0.000797939
473,blo,0,0.000966799
474,block,0,0.000797939
475,blokir,0,0.002396064
476,blom,0,0.000784176
477,bloon,0,0.000784176
478,blpnxuu,0,0.000966799
479,blt,0,0.000784176
480,bncan,0,0.000797939
481,bnpb,0,0.000797939
482,bnyak,0,0.000797939
483,bnyk,0,0.002379982
484,bo,0,0.000784176
485,bob,0,0.000797939
486,bobrok,0,0.000797939
487,bocor,0,0.000784176
488,bodo,0,0.000797939
489,bodoh,0,0.001569079
490,bofu,0,0.000797939
491,bogor,0,0.007063082
492,bohong,0,0.000966799
493,bohongin,0,0.000797939
494,bokep,0,0.000797939
495,bola,0,0.003331766
496,bolong,0,0.000797939
497,bolos,0,0.000797939
498,bom,0,0.001596627
499,bondowoso,0,0.000797939
500,boneka,0,0.000797939
501,bong,0,0.000797939
502,borneo,0,0.005511471
503,boro,0,0.002396064
504,boroko,0,0.000966799
505,borong,0,0.000784176
506,boros,0,0.004129221
507,bos,0,0.000784176
508,boss,0,0.000797939
509,bottom,0,0.000797939
510,boykkf,0,0.000784176
511,bp,0,0.000784176
512,bpa,0,0.000784176
513,bpjs,0,0.022154545
514,bpk,0,0.003179008
515,bpn,0,0.000784176
516,bps,0,0.000966799
517,bq,0,0.000784176
518,bqsx,0,0.000797939
519,brasil,0,0.003686443
520,brasilia,0,0.000784176
521,brazil,0,0.003320279
522,brdmpak,0,0.000784176
523,breaking,0,0.003686443
