,feature,tfidf,ig_value
159,angkut,0.0,0.0007979393802941548
160,anh,0.0,0.0009667991902708728
161,anies,0.0,0.016100457126501544
162,anis,0.0,0.0007841756598852001
163,anjir,0.0,0.0017643284227015776
164,ank,0.0,0.0007979393802941548
165,annavita,0.0,0.0007979393802941548
166,antar,0.0,0.004762045893285327
167,antara,0.0,0.003179008306603226
168,anthony,0.0,0.0007841756598852001
169,anti,0.0,0.0007979393802941548
170,antisipasi,0.0,0.0007841756598852001
171,antusias,0.0,0.0033202789363002694
172,antusiasme,0.0,0.003514694486485892
173,anzar,0.0,0.0031410733108654387
174,aokrxjcree,0.0,0.0009667991902708728
175,ap,0.0,0.0015690787865341171
176,apa,0.0,0.07722847299251834
177,apabila,0.0,0.004144165591311921
178,aparat,0.0,0.0007841756598852001
179,aparatur,0.0,0.0031514191263244395
180,apbd,0.0,0.0009667991902708728
181,apbn,0.0,0.022834429943418888
182,aphqhoyu,0.0,0.0007979393802941548
183,aplikasi,0.0,0.0009667991902708728
184,apln,0.0,0.0007841756598852001
185,apm,0.0,0.0007841756598852001
186,appid,0.0,0.0007841756598852001
187,apresiasi,0.0,0.0023547108464403443
188,aqkftd,0.0,0.0009667991902708728
189,ar,0.0,0.0023547108464403443
190,arah,0.0,0.003948874774998501
191,argumen,0.0,0.004144165591311921
192,argumentasi,0.0,0.0007979393802941548
193,ari,0.0,0.0023799819319643145
194,arief,0.0,0.0015690787865341171
195,arif,0.0,0.0007979393802941548
196,arsip,0.0,0.0009667991902708728
197,arti,0.0,0.011748934334208316
198,artikel,0.0,0.0009667991902708728
199,artis,0.0,0.0007841756598852001
200,arya,0.0,0.008738579915753109
201,as,0.0,0.002562605462349543
202,asa,0.0,0.003514694486485892
203,asai,0.0,0.0015966267866678319
204,asal,0.0,0.008865070386797402
205,asasi,0.0,0.0007979393802941548
206,asemkakan,0.0,0.0009667991902708728
207,aseng,0.0,0.0023960637471287516
208,aset,0.0,0.003179008306603226
209,asgard,0.0,0.0007841756598852001
210,asgardian,0.0,0.0007841756598852001
211,asi,0.0,0.0007841756598852001
212,asia,0.0,0.0007841756598852001
213,asing,0.0,0.004927425935545848
214,asked,0.0,0.0007841756598852001
215,asli,0.0,0.0031640641060657337
216,asn,0.0,0.00902266251098216
217,asong,0.0,0.0007979393802941548
218,asoy,0.0,0.0007979393802941548
219,aspek,0.0,0.01338610103993143
220,aspeksindo,0.0,0.0007841756598852001
221,aspirasi,0.0,0.0007979393802941548
222,asshiddiqie,0.0,0.0015966267866678319
223,asshidiqie,0.0,0.0015690787865341171
224,astaga,0.0,0.0007979393802941548
225,asudahlah,0.0,0.0007979393802941548
226,asumsi,0.0,0.0007841756598852001
227,asyik,0.0,0.0007979393802941548
228,at,0.0,0.0023661976522391104
229,atama,0.0,0.0009667991902708728
230,atas,0.0,0.02237743100643197
231,atau,0.0,0.0023799819319643145
232,ato,0.0,0.0009667991902708728
233,atur,0.0,0.008109301640282451
234,atw,0.0,0.0023960637471287516
235,august,0.0,0.0007841756598852001
236,australia,0.0,0.0007841756598852001
237,avgqd,0.0,0.0007979393802941548
238,awa,0.0,0.0007979393802941548
239,awak,0.0,0.0009667991902708728
240,awal,0.0,0.0073092530981690995
241,awam,0.0,0.0007841756598852001
242,awas,0.0,0.0039787855490514
243,axb,0.0,0.0009667991902708728
244,ayah,0.0,0.001581704892316127
245,ayeuna,0.0,0.0007979393802941548
246,ayo,0.0,0.004144165591311921
247,ayok,0.0,0.0009667991902708728
248,ayom,0.0,0.0015966267866678319
249,ayoo,0.0,0.0007979393802941548
250,ayt,0.0,0.0007979393802941548
251,ayul,0.0,0.0007841756598852001
252,azab,0.0,0.0017643284227015776
253,azfqzcjg,0.0,0.0007979393802941548
254,azzxnnfk,0.0,0.0007841756598852001
255,babak,0.0,0.0007841756598852001
256,babel,0.0,0.0007841756598852001
257,baca,0.0,0.026424493463606646
258,bachmid,0.0,0.0007841756598852001
259,back,0.0,0.0023960637471287516
260,badan,0.36479859668612047,0.008771442897159698
261,bae,0.0,0.001581704892316127
262,bagai,0.0,0.017345144298841708
263,bagaimana,0.0,0.03387655384494859
264,bagi,0.0,0.027170914111494193
265,bagus,0.0,0.010190995198069874
266,bah,0.0,0.0007841756598852001
267,bahagia,0.0,0.0023547108464403443
268,bahan,0.0,0.005266000484769995
269,bahas,0.0,0.058030957252339865
270,bahasa,0.0,0.002562605462349543
271,bahaya,0.0,0.0023960637471287516
272,bahkan,0.0,0.01019540835464361
273,bahlul,0.0,0.0007841756598852001
274,bahwasanya,0.0,0.0007841756598852001
275,baik,0.0,0.06305250437221255
276,baja,0.0,0.0007841756598852001
277,bajing,0.0,0.0007979393802941548
278,bak,0.0,0.0007841756598852001
279,bakal,0.0,0.023795449118169776
280,bakar,0.0,0.004116576411032691
281,bal,0.0,0.0007841756598852001
